"Code","Error Text","Severity","Associated Element(s)","Form Reference"
"A0","The XML declaration/prolog is not recorded with the required values or it is not recorded on the first line of the batch file.","Fatal","Misc.","Misc."
"A1","The element is not recorded for the required party type.","Warning","Misc.","Misc."
"A10","The reported total count of all activities in the batch does not match the actual count.","Fatal","Misc.","Misc."
"A11","The reported sum of all total amounts recorded in the batch does not match the actual amount.","Fatal","Misc.","Misc."
"A12","The reported count of the total number of parties in the batch does not match the actual count.","Fatal","Misc.","Misc."
"A13","The reported count of activities containing an attachment does not match the actual count.","Fatal","Misc.","Misc."
"A14","The reported count of attachments does not match the actual count.","Fatal","Misc.","Misc."
"A15","Cannot continue processing the submitted file because of previous errors encountered.","Fatal","Misc.","Misc."
"A16","One, or more, invalid characters were present in the submitted file.","Fatal","Misc.","Misc."
"A17","The namespace prefix for the element is invalid.","Fatal","Misc.","Misc."
"A18","Unexpected element sequence. The element is not allowed at this location.","Fatal","Misc.","Misc."
"A19","Schema validation failure. The XML file does not conform to the defined schema located at https://www.fincen.gov/base/EFL_SARXBatchSchema.xsd.","Fatal","Misc.","Misc."
"A2","The critical element is not recorded for the required party type.","Fatal","Misc.","Misc."
"A20","This submission cannot be accepted because it contains significant errors. Please fix and resubmit the file.","Fatal","Misc.","Misc."
"A21","This submission has been accepted and will be processed by FinCEN, however it contains some errors which need to be corrected once this submission has been acknowledged.","Warning","Misc.","Misc."
"A23","The value recorded is not appropriate for the associated party type.","Fatal","Misc.","Misc."
"A24","Unknown is indicated for data that is provided.","Warning","Misc.","Misc."
"A25","Unknown is indicated for data that is provided and unknown is not a valid response.","Fatal","Misc.","Misc."
"A27","The element recorded conflicts with one or more recorded elements.","Fatal","Misc.","Misc."
"A29","The value recorded does not contain an associated type.","Fatal","Misc.","Misc."
"A3","The element is recorded for an inappropriate party type.","Fatal","Misc.","Misc."
"A30","The value is missing or invalid.","Fatal","Misc.","Misc."
"A4","The critical element is not recorded.","Fatal","Misc.","Misc."
"A5","The element is not recorded.","Warning","Misc.","Misc."
"A6","The element exceeds the maximum occurrence threshold.","Fatal","Misc.","Misc."
"A7","The element is missing a “SeqNum” attribute","Fatal","Misc.","Misc."
"A8","The element contains a “SeqNum” attribute with a duplicate or invalid value","Fatal","Misc.","Misc."
"A9","One or more of the attributes are missing, incorrectly formatted, or contain an invalid value","Fatal","Misc.","Misc."
"B0","The value recorded is not equal to “Y” or not equal to null.","Fatal","All indicator elements","Misc."
"B1","The element is not recorded.","Fatal","PartyNameTypeCode","Misc."
"B10","The element is not recorded.","Fatal","ActivityPartyTypeCode","Misc."
"B11","The element is recorded but with no value (i.e. the value is null).","Fatal","ActivityPartyTypeCode","Misc."
"B12","The element contains an invalid code.","Fatal","ActivityPartyTypeCode","Misc."
"B13","The element is not recorded.","Fatal","ActivityAssociation","1. Type of Filing"
"B14","The element is recorded but none of the following sub-elements are recorded with a “Y” value: InitialReportIndicator, CorrectsAmendsPriorReportIndicator, and ContinuingActivityReportIndicator.","Fatal","ActivityAssociation","1. Type of Filing"
"B15","InitialReportIndicator contains a “Y” value and either/both of the following elements also contain a “Y” value: CorrectsAmendsPriorReportIndicator,  ContinuingActivityReportIndicator.","Warning","ActivityAssociation","1. Type of Filing"
"B16*","The element is not recorded and the filing type is corrects/amends prior report and/or continuing activity report.","Warning","EFilingPriorDocumentNumber","01e. Type of Filing: e. Prior report BSA Identification Number if items 1b or 1c are checked"
"B17*","The element is recorded but without a value (i.e. the value is null).","Warning","EFilingPriorDocumentNumber","01e. Type of Filing: e. Prior report BSA Identification Number if items 1b or 1c are checked"
"B18*","The element is recorded with a valid value but the filing type is not corrects/amends prior report and/or continuing activity report.","Warning","EFilingPriorDocumentNumber","01e. Type of Filing: e. Prior report BSA Identification Number if items 1b or 1c are checked"
"B19*","The value recorded does not equal 14 numeric characters.","Warning","EFilingPriorDocumentNumber","01e. Type of Filing: e. Prior report BSA Identification Number if items 1b or 1c are checked"
"B2","The element is recorded but with no value (i.e. the value is null).","Fatal","PartyNameTypeCode","Misc."
"B20","The value recorded contains one or more non-numeric characters.","Warning","TotalSuspiciousAmountText","29. Amount involved in this report"
"B21","The element is not recorded or does not contain a value and unknown or no amount involved is not indicated.","Warning","TotalSuspiciousAmountText","29. Amount involved in this report"
"B22*","The element is recorded with a value while unknown and/or no amount involved is indicated.","Warning","TotalSuspiciousAmountText","29. Amount involved in this report"
"B23*","The element is not recorded or does not contain a value.","Warning","SuspiciousActivityFromDateText","30a. Date or date range of suspicious activity (From)"
"B24*","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","SuspiciousActivityFromDateText","30a. Date or date range of suspicious activity (From)"
"B25","The value recorded is greater than the date recorded for SuspiciousActivityToDateText.","Warning","SuspiciousActivityFromDateText","30a. Date or date range of suspicious activity (From)"
"B26*","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","SuspiciousActivityToDateText","30b. Date or date range of suspicious activity (To)"
"B27*","The value recorded contains one or more non-numeric characters.","Warning","CumulativeTotalViolationAmountText","31. Cumulative amount"
"B28*","The element is not recorded or does not contain a value and continuing activity report is indicated.","Warning","CumulativeTotalViolationAmountText","31. Cumulative amount"
"B29","The element is recorded with a value and continuing activity report is not indicated.","Warning","CumulativeTotalViolationAmountText","31. Cumulative amount"
"B3","The element contains an invalid code.","Fatal","PartyNameTypeCode","Misc."
"B30","The cumulative amount recorded is less than the total amount recorded for TotalSuspiciousAmountText.","Warning","CumulativeTotalViolationAmountText","31. Cumulative amount"
"B31","The element is not recorded.","Fatal","SuspiciousActivity","32-42. Suspicious Activity Information"
"B32","The element is not recorded.","Fatal","SuspiciousActivityClassification","32-42. Suspicious Activity Classification"
"B33","The element is not recorded.","Fatal","SuspiciousActivityTypeID","32-42. Suspicious Activity:  Type (ACH, Ponzi scheme, Chip walking, etc.)"
"B34","The element is recorded but without a value (i.e. the value is null).","Fatal","SuspiciousActivityTypeID","32-42. Suspicious Activity:  Type (ACH, Ponzi scheme, Chip walking, etc.)"
"B35","The element contains an invalid code.","Fatal","SuspiciousActivityTypeID","32-42. Suspicious Activity:  Type (ACH, Ponzi scheme, Chip walking, etc.)"
"B36","The element is not recorded.","Fatal","SuspiciousActivitySubtypeID","32a-42z. Suspicious Activity:  Subtype (Structuring, Terrorist financing, Cyber event, etc.)"
"B37","The element is recorded but without a value (i.e. the value is null).","Fatal","SuspiciousActivitySubtypeID","32a-42z. Suspicious Activity:  Subtype (Structuring, Terrorist financing, Cyber event, etc.)"
"B38","The element contains an invalid code.","Fatal","SuspiciousActivitySubtypeID","32a-42z. Suspicious Activity:  Subtype (Structuring, Terrorist financing, Cyber event, etc.)"
"B39","The element contains a value that is not appropriate for the type of suspicious activity recorded.","Fatal","SuspiciousActivitySubtypeID","32a-42z. Suspicious Activity:  Subtype (Structuring, Terrorist financing, Cyber event, etc.)"
"B4","The element is recorded with a value that is not approved for the associated party type (see Value Restrictions for more information).","Fatal","PartyNameTypeCode","Misc."
"B40","The element is not recorded or does not contain a value and the subtype of suspicious activity is equal to Other.","Warning","OtherSuspiciousActivityTypeText","32z-42z. Suspicious Activity: Other Type Description"
"B41","The element is recorded with a value but the subtype of suspicious activity is not equal to Other.","Warning","OtherSuspiciousActivityTypeText","32z-42z. Suspicious Activity: Other Type Description"
"B42*","The value recorded for the element is not in the required format (see Value Restrictions for format requirements).","Warning","IPAddressText","43. IP Address: Address"
"B43*","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","ActivityIPAddressDateText","43a. IP Address: Date"
"B44*","The value recorded for the element is not in the required format (HH:MM:SS).","Warning","ActivityIPAddressTimeStampText","43b. IP Address: Timestamp"
"B45","The element is not recorded or does not contain.","Warning","EventValueText","44a1-j1,z1. Cyber Event Indicator: Event value"
"B46","The value recorded is not valid based on the type of cyber event (see Value Restrictions for format requirements).","Warning","EventValueText","44a1-j1,z2. Cyber Event Indicator: Event value"
"B47","The element is recorded for a cyber- event type that is not applicable to this data (see Element Restrictions for more information).","Fatal","CyberEventDateText","44a2,h2. Cyber Event Indicator: Date"
"B48*","The value recorded for the element is not in the required format (YYYYMMDD).","Warning","CyberEventDateText","44a2,h3. Cyber Event Indicator: Date"
"B49*","The element is recorded for a cyber-event type that is not applicable to this data (see Element Restrictions for more information).","Fatal","CyberEventTimeStampText","44a3,h3. Cyber Event Indicator: Timestamp"
"B5","The element is not recorded and the <PartyIdentificationNumberText> contains a value.","Fatal","PartyIdentificationTypeCode","Misc."
"B50","The value recorded for the element is not in the required format (HH:MM:SS).","Warning","CyberEventTimeStampText","44a3,h4. Cyber Event Indicator: Timestamp"
"B51","The element is not recorded or does not contain a value.","Fatal","CyberEventIndicatorsTypeCode","44a-j,z. Cyber Event Indicator: Type (Command and Control IP address, Targeted system, etc.)"
"B52","The element contains an invalid code.","Fatal","CyberEventIndicatorsTypeCode","44a-j,z. Cyber Event Indicator: Type (Command and Control IP address, Targeted system, etc.)"
"B53","The element is not recorded or does not contain a value and the <CyberEventIndicatorsTypeCode> is equal to “11” Other.","Warning","CyberEventTypeOtherText","44z. Cyber Event Indicator: Other Description"
"B54","The element is recorded with a value and the <CyberEventIndicatorsTypeCode> is not equal to “11” Other.","Warning","CyberEventTypeOtherText","44z. Cyber Event Indicator: Other Description"
