"Code Error Text Severity Associated Element(s) Form Reference","","","",""
"D3","The element is not recorded or does not contain a value (i.e. the value is null).","Fatal","OrganizationTypeID","51a-g,z. Institution Type"
"D4","The element contains an invalid code.","Fatal","OrganizationTypeID","51a-g,z. Institution Type"
"D5","The element is not recorded or does not contain a value and the institution type is equal to Other.","Warning","OtherOrganizationTypeText","51z. Institution Type Other Description"
"D6","The element is recorded with a value but the institution type is not equal to Other.","Warning","OtherOrganizationTypeText","51z. Institution Type Other Description"
"D7","The element is not recorded.","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"D8","The element is recorded but with no value (i.e. the value is null).","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"D9","The element contains an invalid code.","Fatal","PrimaryRegulatorTypeCode","52a-i. Primary Federal Regulator"
"D10","The element is not recorded or does not contain a value (i.e. the value is null) and the institution type is equal to Casino/Card club or Securities and Futures.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D11","The element contains an invalid code.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D12","The element contains a value but the institution type is not equal to Casino/Card club or Securities and Futures.","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D14","The value recorded conflicts with the institution type recorded (e.g. State Casino recorded for Securities and Futures institution)","Fatal","OrganizationSubtypeID","53a-c,z 54a-k,z. Institution Subtype: Gaming Institution, Institution Subtype: Securities/Futures Institution"
"D15","The element is not recorded or does not contain a value and the institution subtype is equal to Other.","Warning","OtherOrganizationSubTypeText","53z 54z. Institution Subtype Other: Gaming Institution Description Institution Subtype Other: Securities/Futures Institution Description"
"D16","The element is recorded with a value but the institution subtype is not equal to Other.","Warning","OtherOrganizationSubTypeText","53z 54z. Institution Subtype Other: Gaming Institution Description Institution Subtype Other:"
