"Code Error Text Severity Associated Element(s) Form Reference","","","",""
"","","","","Securities/Futures Institution Description"
"D17","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","PartyIdentificationNumberText","55h. Institution ID: Number"
"D51","More than one role is recorded for the financial institution’s role in transaction.","Warning","PayLocationIndicator SellingLocationIndicator SellingPayingLocationIndicator","56a-b. Role in transaction"
"D18","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","RawPartyFullName","57. Name: Legal name of FI"
"D19","The element is recorded with a value for the legal name and unknown is indicated.","Warning","RawPartyFullName","57. Name: Legal name of FI"
"D20","The element is not recorded or does not contain a value and unknown is not indicated.","Fatal","PartyIdentificationNumberText","59. TIN: Number"
"D21*","The value recorded for the EIN or SSN/ITIN is an invalid number string.","Warning","PartyIdentificationNumberText","59. TIN: Number"
"D52","The element is not recorded or does not contain a valid value.","Fatal","PartyIdentificationTypeCode","60. TIN: Type"
"D22","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawStreetAddress1Text","61. Address: Address/Street"
"D23","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCityText","62. Address: City"
"D24","The element contains an invalid state code.","Fatal","RawStateCodeText","63. Address: State"
"D25","The element is not recorded or does not contain a value when the country is US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","63. Address: State"
"D26","The element contains a value and the country is not US, CA, MX, or a U.S. Territory.","Warning","RawStateCodeText","63. Address: State"
"D27","State code and country code mismatch when U.S. Territory is recorded.","Warning","RawCountryCodeText RawStateCodeText","63, 65. Address: State, Country"
"D28","The value recorded contains punctuation or formatting.","Fatal","RawZIPCode","64. Address: ZIP/Postal Code"
"D29","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawZIPCode","64. Address: ZIP/Postal Code"
"D30","The value recorded is not equal to 5 or 9 numeric characters, is a 9-digit value ending in four zeros or four nines, and the corresponding country is equal to US or a U.S. Territory code.","Warning","RawZIPCode","64. Address: ZIP/Postal Code"
"D31","The element contains an invalid country code.","Fatal","RawCountryCodeText","65. Address: Country"
"D32","The element is not recorded or does not contain a value and unknown is not indicated.","Warning","RawCountryCodeText","65. Address: Country"
"D33","The loss to financial institution amount recorded contains one or more non-numeric characters.","Warning","LossToFinancialAmountText","67. Loss to financial institution (amount)"
