"Code Error Text Severity Associated Element(s) Form Reference","","","",""
"B57","The element contains an invalid code.","Fatal","AssetTypeID","45/46. Assets: Type  (45. Financial product) (46. Financial instrument/payment mechanism)"
"B58","The element is not recorded.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B59","The element is recorded but without a value (i.e. the value is null).","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B60","The element contains an invalid code.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B61","The element contains a value that is not appropriate for the type of asset recorded.","Fatal","AssetSubtypeID","45a-t,z/46a-i,z. Assets: Subtype  (45. Bonds/Notes, Microcap securities, etc.)  (46. Bank/cashier's check, Funds transfer, etc.)"
"B62","The element is not recorded or does not contain a value and Other is indicated for the <AssetSubtypeID> element.","Warning","OtherAssetSubtypeText","45z/46z. Assets: Subtype Other Description"
"B63","The element is recorded with a value and Other is not indicated for the <AssetSubtypeID> element.","Warning","OtherAssetSubtypeText","45z/46z. Assets: Subtype Other Description"
"B64","The element is not recorded or does not contain a value.","Warning","AssetAttributeDescriptionText","47-50. Assets Attribute: Value/Description"
"B65","The value recorded is not valid based on the type of asset attribute (see Value Restrictions for format requirements).","Warning","AssetAttributeDescriptionText","47-50. Assets Attribute: Value/Description"
"B66","The element is not recorded.","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B67","The element is recorded but without a value (i.e. the value is null).","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B68","The element contains an invalid code.","Fatal","AssetAttributeTypeID","47-50. Assets Attribute: Type (Commodity, Product/Instrument, Market where traded, or CUSIP)"
"B69","The element is not recorded.","Fatal","FilingDateText","95. Date filed"
